epoch,batch,trial,tr_loss_classifier,tr_loss_reconstruction,tr_loss_py,tr_loss_y_kl,tr_kl_weight,tr_loss_z_kl,tr_loss,dataset,best_val_epoch,val_loss_classifier,val_loss_reconstruction,val_loss_py,val_loss_y_kl,val_kl_weight,val_loss_z_kl,val_loss
0,8,-1,60.73538462320963,80.28740607367621,2.151050885518392,55.03390121459961,0.09999999999999999,0.10882420672310723,693.6216634114584,-1,,,,,,,,
1,8,-1,,,,,,,,-1,1.0,57.5258846282959,95.89823150634766,2.181622624397278,48.020809173583984,0.1,0.10222955942153931,635.9160766601562
1,8,-1,60.295839097764755,79.66058434380426,2.132540808783637,51.05542119344076,0.09999999999999999,0.10479746725824145,652.7479587131077,-1,,,,,,,,
2,8,-1,,,,,,,,-1,2.0,56.62336349487305,93.15560150146484,2.129822611808777,42.2220458984375,0.1,0.09789505898952484,574.2271423339844
2,8,-1,59.46684307522244,77.45358996921115,2.1066208680470786,42.37554253472222,0.09999999999999999,0.09873401257726883,562.8812086317274,-1,,,,,,,,
3,8,-1,,,,,,,,-1,3.0,55.91229438781738,91.12583541870117,2.1257959604263306,37.7017707824707,0.1,0.09494512975215913,526.2766418457031
3,8,-1,58.77429750230577,76.5988260904948,2.0851767328050403,37.719963497585724,0.09999999999999999,0.09645938211017185,514.754391140408,-1,,,,,,,,
4,8,-1,,,,,,,,-1,4.0,55.365617752075195,89.71733474731445,2.08073091506958,28.88289451599121,0.1,0.09035341143608094,436.08299255371094
4,8,-1,58.1442748175727,74.41511874728732,2.0466376145680747,31.16790771484375,0.09999999999999999,0.09502821101082698,446.38014051649304,-1,,,,,,,,
5,8,-1,,,,,,,,-1,5.0,55.057579040527344,87.83882904052734,2.085072875022888,22.186272621154785,0.1,0.08726666271686555,366.9314880371094
5,8,-1,57.73511081271701,73.21810870700412,2.029573837916056,26.57790692647298,0.09999999999999999,0.09082393844922383,398.85268147786456,-1,,,,,,,,
6,8,-1,,,,,,,,-1,6.0,54.796213150024414,87.56412124633789,2.0687649250030518,19.8219575881958,0.1,0.08742922246456147,342.73609924316406
6,8,-1,57.43895509507921,72.38939497205946,2.016570250193278,21.15214580959744,0.09999999999999999,0.0900676687558492,343.45644124348956,-1,,,,,,,,
