epoch,batch,trial,tr_loss_classifier,tr_loss_reconstruction,tr_loss_py,tr_kl_weight,tr_loss_z_kl,tr_loss,dataset,best_val_epoch,val_loss_classifier,val_loss_reconstruction,val_loss_py,val_kl_weight,val_loss_z_kl,val_loss
0,8,-1,13.716520097520617,65857.60026041667,20.652631123860676,0.09999999999999999,0.0843680202960968,65892.05338541667,-1,,,,,,,
1,8,-1,,,,,,,-1,1.0,13.686919212341309,79251.671875,19.87156391143799,0.1,0.08429305851459504,79285.314453125
1,8,-1,13.714218669467503,66028.60807291667,20.3752507103814,0.09999999999999999,0.08365241289138796,66062.78255208333,-1,,,,,,,
2,8,-1,,,,,,,-1,1.0,13.681167602539062,79663.87890625,20.406126022338867,0.1,0.08596829771995546,79698.0546875
2,8,-1,13.709836959838867,65655.97395833333,20.016004774305557,0.09999999999999999,0.08301518890592788,65689.78298611111,-1,,,,,,,
3,8,-1,,,,,,,-1,3.0,13.675366401672363,79022.21484375,19.441256523132324,0.1,0.08190951645374298,79055.412109375
3,8,-1,13.705386055840385,65531.11675347222,20.373340606689453,0.09999999999999999,0.08407066464424134,65565.27907986111,-1,,,,,,,
4,8,-1,,,,,,,-1,3.0,13.669493675231934,79158.35546875,20.369356155395508,0.1,0.08376262187957764,79192.48046875
4,8,-1,13.700371636284721,65488.822916666664,20.154769049750435,0.09999999999999999,0.08324840466181439,65522.760850694445,-1,,,,,,,
5,8,-1,,,,,,,-1,3.0,13.663508415222168,79309.115234375,20.037296295166016,0.1,0.08466968536376954,79342.90234375
5,8,-1,13.694954872131348,65257.042100694445,20.079234229193794,0.09999999999999999,0.08267039259274801,65290.89887152778,-1,,,,,,,
6,8,-1,,,,,,,-1,6.0,13.657352924346924,78983.71484375,20.648090362548828,0.1,0.08411378860473634,79018.10546875
6,8,-1,13.689798884921604,65230.854166666664,20.393639034695095,0.09999999999999999,0.08315762148963082,65265.01909722222,-1,,,,,,,
7,8,-1,,,,,,,-1,7.0,13.651071548461914,78779.517578125,19.787440299987793,0.1,0.08463764786720276,78813.041015625
7,8,-1,13.685226228502062,64824.01388888889,20.113168080647785,0.09999999999999999,0.08137983812226189,64857.89279513889,-1,,,,,,,
8,8,-1,,,,,,,-1,8.0,13.644627094268799,78773.658203125,18.74483585357666,0.1,0.08248684704303742,78806.12890625
8,8,-1,13.679779158698189,64874.92230902778,19.886764738294815,0.09999999999999999,0.08222369154294333,64908.56814236111,-1,,,,,,,
9,8,-1,,,,,,,-1,9.0,13.63813066482544,78616.263671875,20.028736114501953,0.1,0.08361679911613465,78650.015625
9,8,-1,13.676325798034668,64821.8671875,20.12584008110894,0.09999999999999999,0.08159207635455662,64855.753038194445,-1,,,,,,,
10,8,-1,,,,,,,-1,9.0,13.631427764892578,78692.404296875,20.602720260620117,0.1,0.08507346212863923,78726.7265625
10,8,-1,13.668610996670193,64618.296875,19.902641508314346,0.09999999999999999,0.08151089482837254,64651.947916666664,-1,,,,,,,
11,8,-1,,,,,,,-1,11.0,13.624547958374023,77510.197265625,19.844691276550293,0.1,0.07680007815361023,77543.744140625
11,8,-1,13.662467108832466,64434.358506944445,19.8854242960612,0.09999999999999999,0.08167158431477017,64467.98828125,-1,,,,,,,
12,8,-1,,,,,,,-1,11.0,13.617209911346436,77618.794921875,20.130470275878906,0.1,0.07857866287231446,77652.625
12,8,-1,13.656717194451225,64338.09418402778,19.961253060234917,0.09999999999999999,0.0805563317404853,64371.792100694445,-1,,,,,,,
13,8,-1,,,,,,,-1,11.0,13.608737468719482,78763.84765625,19.9919376373291,0.1,0.08208683729171753,78797.52734375
13,8,-1,13.648766305711534,64329.510850694445,20.13183487786187,0.09999999999999999,0.08079389995998808,64363.37326388889,-1,,,,,,,
14,8,-1,,,,,,,-1,11.0,13.595454216003418,77608.03515625,20.303236961364746,0.1,0.08287877142429352,77642.017578125
14,8,-1,13.639013078477648,64076.37456597222,20.146942350599502,0.09999999999999999,0.07978252437379627,64110.239149305555,-1,,,,,,,
15,8,-1,,,,,,,-1,11.0,13.57141923904419,77757.404296875,19.42277717590332,0.1,0.08434876501560212,77790.48046875
15,8,-1,13.625307401021322,63866.48784722222,20.058008829752605,0.09999999999999999,0.07985202537642587,63900.25043402778,-1,,,,,,,
16,8,-1,,,,,,,-1,16.0,13.53816843032837,76605.353515625,20.344008445739746,0.1,0.0792354702949524,76639.31640625
16,8,-1,13.603982183668348,64004.89887152778,20.139008416069878,0.09999999999999999,0.08037267592218188,64038.72309027778,-1,,,,,,,
17,8,-1,,,,,,,-1,16.0,13.49802017211914,76798.671875,19.608007431030273,0.1,0.0725818008184433,76831.849609375
17,8,-1,13.553862783643934,63694.86545138889,20.48839781019423,0.09999999999999999,0.08001249498791164,63728.986979166664,-1,,,,,,,
18,8,-1,,,,,,,-1,16.0,13.449615955352783,77239.728515625,20.17219829559326,0.1,0.0817365437746048,77273.431640625
18,8,-1,13.517139646742079,63530.907552083336,20.005883746676975,0.09999999999999999,0.08016856577661303,63564.51171875,-1,,,,,,,
19,8,-1,,,,,,,-1,19.0,13.392735958099365,75981.486328125,20.861706733703613,0.1,0.0797039270401001,76015.818359375
19,8,-1,13.482861518859863,62970.557725694445,20.813798692491318,0.09999999999999999,0.07905591593848335,63004.93315972222,-1,,,,,,,
20,8,-1,,,,,,,-1,20.0,13.332942485809326,75776.013671875,20.75157070159912,0.1,0.07811805903911591,75810.173828125
20,8,-1,13.46637757619222,63135.805989583336,20.45435078938802,0.09999999999999999,0.0788762264781528,63169.80642361111,-1,,,,,,,
21,8,-1,,,,,,,-1,21.0,13.268637657165527,74540.96875,20.711336135864258,0.1,0.07188943028450012,74575.015625
21,8,-1,13.405974282158745,62487.55078125,20.886214150322807,0.09999999999999999,0.07750445405642191,62521.92144097222,-1,,,,,,,
22,8,-1,,,,,,,-1,21.0,13.197396278381348,74564.765625,21.61143970489502,0.1,0.07495704591274262,74599.650390625
22,8,-1,13.330550723605686,62208.75043402778,20.61548635694716,0.09999999999999999,0.07764424085617067,62242.77560763889,-1,,,,,,,
23,8,-1,,,,,,,-1,21.0,13.113715171813965,74804.099609375,20.55586338043213,0.1,0.07260648608207704,74837.84375
23,8,-1,13.22718228234185,62084.471354166664,20.846747716267902,0.09999999999999999,0.07604906095398796,62118.622395833336,-1,,,,,,,
24,8,-1,,,,,,,-1,24.0,13.020403861999512,73674.1484375,20.772666931152344,0.1,0.07340278923511506,73708.015625
24,8,-1,13.16232066684299,62094.41449652778,20.72558848063151,0.09999999999999999,0.07564264403449164,62128.379774305555,-1,,,,,,,
25,8,-1,,,,,,,-1,24.0,12.918815612792969,73755.626953125,20.861363410949707,0.1,0.07481180131435394,73789.482421875
25,8,-1,13.089798503451878,61782.428819444445,20.577863269382053,0.09999999999999999,0.07534732156329686,61816.17230902778,-1,,,,,,,
26,8,-1,,,,,,,-1,26.0,12.824418544769287,73405.265625,20.488638877868652,0.1,0.07085483372211457,73438.650390625
26,8,-1,13.155259768168131,61128.754774305555,20.654158062405056,0.09999999999999999,0.07399519681930543,61162.63671875,-1,,,,,,,
27,8,-1,,,,,,,-1,27.0,12.715279579162598,72948.51171875,20.823312759399414,0.1,0.0737321525812149,72982.123046875
27,8,-1,12.887753168741861,61287.63498263889,20.994429694281685,0.09999999999999999,0.07303902573055691,61321.590711805555,-1,,,,,,,
28,8,-1,,,,,,,-1,27.0,12.59661054611206,73613.810546875,21.92500877380371,0.1,0.07530007958412172,73648.40625
28,8,-1,12.88216749827067,61030.84809027778,20.4970580206977,0.09999999999999999,0.07376240756776598,61064.301649305555,-1,,,,,,,
29,8,-1,,,,,,,-1,29.0,12.480433940887451,72725.4921875,21.048460006713867,0.1,0.07128166258335114,72759.087890625
29,8,-1,12.77078946431478,60966.8046875,20.590287102593315,0.09999999999999999,0.0733268976211548,61000.24001736111,-1,,,,,,,
30,8,-1,,,,,,,-1,29.0,12.346712112426758,73603.474609375,21.026689529418945,0.1,0.07190235257148743,73636.921875
30,8,-1,12.613997989230686,60764.48611111111,20.48412831624349,0.09999999999999999,0.07451976603931851,60797.65842013889,-1,,,,,,,
31,8,-1,,,,,,,-1,31.0,12.21046257019043,72200.279296875,20.083760261535645,0.1,0.0686138927936554,72232.642578125
31,8,-1,12.445436477661133,60446.18315972222,20.656872431437176,0.09999999999999999,0.07231883075502184,60479.35720486111,-1,,,,,,,
32,8,-1,,,,,,,-1,32.0,12.065072536468506,72066.685546875,20.715989112854004,0.1,0.06947458982467651,72099.53515625
32,8,-1,12.437249183654785,60150.811631944445,20.653348922729492,0.09999999999999999,0.07165959477424622,60183.973958333336,-1,,,,,,,
33,8,-1,,,,,,,-1,32.0,11.930978775024414,72322.98828125,20.59856128692627,0.1,0.07021743655204774,72355.587890625
33,8,-1,12.401594797770182,60581.15798611111,20.11756812201606,0.09999999999999999,0.07258893118964299,60613.749131944445,-1,,,,,,,
34,8,-1,,,,,,,-1,32.0,11.786603927612305,72197.21484375,20.93599796295166,0.1,0.07118815183639526,72230.005859375
34,8,-1,12.188225110371908,60892.792100694445,20.25905990600586,0.09999999999999999,0.07390714751349554,60925.313802083336,-1,,,,,,,
35,8,-1,,,,,,,-1,35.0,11.643327236175537,71885.734375,20.65263843536377,0.1,0.0682594507932663,71918.1015625
35,8,-1,12.181900130377876,59778.606336805555,20.605259789360893,0.09999999999999999,0.07281403674019708,59811.465711805555,-1,,,,,,,
36,8,-1,,,,,,,-1,36.0,11.486377716064453,71861.369140625,21.335670471191406,0.1,0.06955603361129761,71894.259765625
36,8,-1,11.662804179721409,60718.645399305555,20.43096817864312,0.09999999999999999,0.07375734448432923,60750.81206597222,-1,,,,,,,
37,8,-1,,,,,,,-1,37.0,11.326478004455566,71468.07421875,20.955904960632324,0.1,0.07179860770702362,71500.4296875
37,8,-1,11.671673138936361,59996.05642361111,20.913084030151367,0.09999999999999999,0.07161103155877854,60028.71267361111,-1,,,,,,,
38,8,-1,,,,,,,-1,37.0,11.171229839324951,71605.646484375,21.511107444763184,0.1,0.0725005716085434,71638.400390625
38,8,-1,11.650849978129068,60128.622395833336,20.590214835272896,0.09999999999999999,0.07142312394248115,60160.934895833336,-1,,,,,,,
39,8,-1,,,,,,,-1,39.0,11.022404193878174,71032.095703125,20.823176383972168,0.1,0.06855531334877014,71064.01171875
39,8,-1,11.455840640597874,59824.05815972222,20.84804259406196,0.09999999999999999,0.07207407421535916,59856.43402777778,-1,,,,,,,
40,8,-1,,,,,,,-1,40.0,10.886541843414307,70851.8828125,20.464557647705078,0.1,0.0696341335773468,70883.306640625
40,8,-1,11.676356633504232,59367.93706597222,20.792334450615776,0.09999999999999999,0.0710065934393141,59400.47482638889,-1,,,,,,,
41,8,-1,,,,,,,-1,41.0,10.751247882843018,70369.041015625,20.81320285797119,0.1,0.069309002161026,70400.673828125
41,8,-1,11.140597131517199,59557.618055555555,20.893190171983505,0.09999999999999999,0.07173846893840367,59589.72265625,-1,,,,,,,
42,8,-1,,,,,,,-1,41.0,10.619445323944092,71288.572265625,22.02870750427246,0.1,0.06985888481140137,71321.291015625
42,8,-1,11.471211857265896,59134.354166666664,20.75599119398329,0.09999999999999999,0.07140548626581829,59166.65234375,-1,,,,,,,
43,8,-1,,,,,,,-1,41.0,10.496217727661133,71087.703125,20.921175956726074,0.1,0.07274501025676727,71119.1953125
43,8,-1,11.325653500027126,58936.138020833336,20.909472995334202,0.09999999999999999,0.0704128709104326,58968.44314236111,-1,,,,,,,
